Model,Dataset,Accuracy,Macro F1,Weighted F1,Precision (Weighted),Recall (Weighted)
Base (Fer2013),Zenodo,0.31417624521072796,0.21859543001203055,0.2718531613688635,0.2698158601034307,0.31417624521072796
Base (Fer2013),Mendeley,0.16095890410958905,0.10714712306327213,0.1252595862352414,0.14549191009361773,0.16095890410958905
Fine-tuned (Zenodo),Zenodo,0.322477650063857,0.2400882059979048,0.285699227385841,0.27466063145973424,0.322477650063857
Fine-tuned (Zenodo),Mendeley,0.1917808219178082,0.1437263142547006,0.16340264022118933,0.20667385421951628,0.1917808219178082
Fine-tuned (Mendeley),Zenodo,0.3090676883780332,0.21542298067062612,0.2621126462567282,0.2670524519997571,0.3090676883780332
Fine-tuned (Mendeley),Mendeley,0.2876712328767123,0.21101008851777678,0.24606178267293577,0.2691659558097914,0.2876712328767123
Fine-tuned (RAF-DB),Zenodo,0.29565772669220947,0.20182012412611647,0.24900189759415056,0.31991650141248384,0.29565772669220947
Fine-tuned (RAF-DB),Mendeley,0.1643835616438356,0.13650955222383795,0.1382898229131106,0.1931235219020736,0.1643835616438356
Fine-tuned (AffectNet),Zenodo,0.2777777777777778,0.24418406308000518,0.28213929085166367,0.3028561197516314,0.2777777777777778
Fine-tuned (AffectNet),Mendeley,0.1404109589041096,0.1237588446303171,0.11902791247487378,0.23635321532623343,0.1404109589041096
