Model,Dataset,Accuracy,Macro F1,Weighted F1,Precision (Weighted),Recall (Weighted)
Base (Fer2013),Zenodo,0.31417624521072796,0.21937958432616403,0.2723403592314537,0.2718928858238555,0.31417624521072796
Base (Fer2013),Mendeley,0.16095890410958905,0.10714712306327213,0.1252595862352414,0.14549191009361773,0.16095890410958905
Fine-tuned (Zenodo),Zenodo,0.322477650063857,0.24009693075464975,0.2857006943498763,0.27460528035019544,0.322477650063857
Fine-tuned (Zenodo),Mendeley,0.1917808219178082,0.1437263142547006,0.16340264022118933,0.20667385421951628,0.1917808219178082
Fine-tuned (Mendeley),Zenodo,0.3090676883780332,0.21542298067062612,0.2621126462567282,0.2670524519997571,0.3090676883780332
Fine-tuned (Mendeley),Mendeley,0.2876712328767123,0.21101008851777678,0.24606178267293577,0.2691659558097914,0.2876712328767123
Fine-tuned (RAF-DB),Zenodo,0.29565772669220947,0.20195607525707499,0.24906222154729088,0.3161556234535305,0.29565772669220947
Fine-tuned (RAF-DB),Mendeley,0.1643835616438356,0.13650955222383795,0.1382898229131106,0.1931235219020736,0.1643835616438356
Fine-tuned (AffectNet),Zenodo,0.2777777777777778,0.24415186824680155,0.2821472371625503,0.30285925327777347,0.2777777777777778
Fine-tuned (AffectNet),Mendeley,0.1404109589041096,0.1237588446303171,0.11902791247487378,0.23635321532623343,0.1404109589041096
Fine-tuned (Universal),Zenodo,0.3333333333333333,0.27493615029824175,0.3132471133817809,0.307551954570913,0.3333333333333333
Fine-tuned (Universal),Mendeley,0.4417808219178082,0.4193224695084687,0.4404214390308143,0.44725521809624535,0.4417808219178082
